"","station","glatos_array","station_no","consecutive_deploy_no","intend_lat","intend_long","deploy_lat","deploy_long","recover_lat","recover_long","deploy_date_time","recover_date_time","bottom_depth","riser_length","instrument_depth","ins_model_no","glatos_ins_frequency","ins_serial_no","code_map","code_map_comment","deployed_by","comments","glatos_seasonal","glatos_project","glatos_vps","year","inside"
"37","HAM-015","HAM",15,13,NA,NA,43.29365,-79.85536,NA,NA,2025-07-10 14:21:00,2025-10-21 13:04:00,6.4,1.5,NA,"VR2AR",69,552978,"Generation-2",NA,NA,NA,"No","HAMLO","No","2025",TRUE
"38","HAM-017","HAM",17,10,NA,NA,43.29488,-79.82113,NA,NA,2022-06-09 13:37:00,2023-07-11 14:20:00,18.8,NA,NA,"VR2AR",69,548283,"MAP-115",NA,NA,NA,"No","HAMLO","No","2022",TRUE
"39","HAM-017","HAM",17,11,NA,NA,43.29468,-79.8297,NA,NA,2023-07-11 14:30:00,2024-06-13 14:17:00,19.5,NA,NA,"VR2AR",69,548706,"Generation-2",NA,NA,NA,"No","HAMLO","No","2023",TRUE
"40","HAM-017","HAM",17,12,NA,NA,43.29468,-79.8297,NA,NA,2024-06-13 14:19:00,2025-07-10 13:48:00,7,NA,NA,"VR2AR",69,549115,"Generation-2",NA,NA,NA,"No","HAMLO","No","2024",TRUE
"41","HAM-017","HAM",17,13,NA,NA,43.29468,-79.8297,NA,NA,2025-07-10 13:51:00,2025-10-21 12:56:00,19.4,1.5,NA,"VR2AR",69,545560,"Generation-2",NA,NA,NA,"No","HAMLO","No","2025",TRUE
"42","HAM-018","HAM",18,10,NA,NA,43.27267,-79.878,NA,NA,2022-06-09 19:12:00,2023-06-23 17:00:00,6.9,NA,NA,"VR2AR",69,548243,"MAP-115",NA,NA,NA,"No","HAMLO","No","2022",TRUE
"43","HAM-019","HAM",19,9,NA,NA,43.27811,-79.85158,NA,NA,2021-11-09 19:37:00,2022-11-14 19:52:00,18,NA,NA,"VR2W",69,127847,"MAP-114",NA,NA,NA,"No","HAMLO","No","2021",TRUE
"44","HAM-021","HAM",21,9,NA,NA,43.28578,-79.82647,NA,NA,2022-06-09 18:05:00,2023-07-10 15:02:00,18.6,NA,NA,"VR2AR",69,549107,"MAP-115",NA,NA,NA,"No","HAMLO","No","2022",TRUE
"45","HAM-021","HAM",21,10,NA,NA,43.28578,-79.82647,NA,NA,2023-07-10 15:10:00,2024-06-13 14:00:00,16.9,NA,NA,"VR2AR",69,549115,"Generation-2",NA,NA,NA,"No","HAMLO","No","2023",TRUE
"46","HAM-021","HAM",21,11,NA,NA,43.28578,-79.82647,NA,NA,2024-06-13 14:10:00,2025-07-10 14:00:00,15,NA,NA,"VR2AR",69,552973,"Generation-2",NA,NA,NA,"No","HAMLO","No","2024",TRUE
"47","HAM-021","HAM",21,12,NA,NA,43.28578,-79.82647,NA,NA,2025-07-10 14:03:00,NA,18,1.5,NA,"VR2AR",69,548276,NA,"code map not available (receiver currently deployed)",NA,NA,"No","HAMLO","No","2025",TRUE
"48","HAM-022","HAM",22,11,NA,NA,43.30235,-79.79037,NA,NA,2022-06-09 17:32:00,2023-08-14 19:44:00,6.6,NA,NA,"VR2AR",69,549116,"MAP-115",NA,NA,NA,"No","HAMLO","No","2022",TRUE
"49","HAM-022","HAM",22,12,NA,NA,43.30235,-79.79037,NA,NA,2023-08-14 19:52:00,2024-06-26 18:50:00,5.6,NA,NA,"VR2AR",69,548631,"Generation-2",NA,NA,NA,"No","HAMLO","No","2023",TRUE
"50","HAM-022","HAM",22,13,NA,NA,43.30235,-79.79037,NA,NA,2024-06-26 18:53:00,2025-07-30 19:01:00,6,NA,NA,"VR2AR",69,548275,"Generation-2",NA,NA,NA,"No","HAMLO","No","2024",TRUE
"51","HAM-022","HAM",22,14,NA,NA,43.30235,-79.79037,NA,NA,2025-07-30 19:03:00,NA,6.6,1.5,NA,"VR2AR",69,552917,NA,"code map not available (receiver currently deployed)",NA,NA,"No","HAMLO","No","2025",TRUE
"52","HAM-023","HAM",23,11,NA,NA,43.28569,-79.86764,NA,NA,2022-06-09 18:58:00,2023-07-11 13:37:00,9.1,NA,NA,"VR2AR",69,547990,"MAP-115",NA,NA,NA,"No","HAMLO","No","2022",TRUE
"53","HAM-023","HAM",23,12,NA,NA,43.28569,-79.86764,NA,NA,2023-07-11 13:46:00,2024-06-13 14:45:00,10.2,NA,NA,"VR2AR",69,548282,"Generation-2",NA,NA,NA,"No","HAMLO","No","2023",TRUE
"54","HAM-023","HAM",23,13,NA,NA,43.28569,-79.86764,NA,NA,2024-06-13 14:50:00,2025-07-10 14:53:00,6.7,NA,NA,"VR2AR",69,548265,"Generation-2",NA,NA,NA,"No","HAMLO","No","2024",TRUE
"55","HAM-023","HAM",23,14,NA,NA,43.28569,-79.86764,NA,NA,2025-07-10 14:56:00,2025-10-21 13:35:00,5.4,1.5,NA,"VR2AR",69,548282,"Generation-2",NA,NA,NA,"No","HAMLO","No","2025",TRUE
"56","HAM-025","HAM",25,10,NA,NA,43.30969,-79.81158,NA,NA,2022-06-09 13:24:00,2023-07-11 12:47:00,6.1,NA,NA,"VR2AR",69,548706,"MAP-115",NA,NA,NA,"No","HAMLO","No","2022",TRUE
"57","HAM-025","HAM",25,11,NA,NA,43.30969,-79.81158,NA,NA,2023-07-11 12:51:00,2024-06-12 13:49:00,5,NA,NA,"VR2AR",69,548251,"Generation-2",NA,NA,NA,"No","HAMLO","No","2023",TRUE
"58","HAM-025","HAM",25,12,NA,NA,43.30969,-79.81158,NA,NA,2024-06-12 13:59:00,2025-07-10 13:33:00,5.1,NA,NA,"VR2AR",69,552978,"Generation-2",NA,NA,NA,"No","HAMLO","No","2024",TRUE
"59","HAM-025","HAM",25,13,NA,NA,43.30969,-79.81158,NA,NA,2025-07-10 13:40:00,NA,4.9,1.5,NA,"VR2AR",69,552899,NA,"code map not available (receiver currently deployed)",NA,NA,"No","HAMLO","No","2025",TRUE
"60","HAM-027","HAM",27,9,NA,NA,43.27361,-79.87139,NA,NA,2022-07-07 18:35:00,2022-11-17 14:55:00,11.6,NA,NA,"VR2W",69,124715,"MAP-115",NA,NA,NA,"No","HAMLO","No","2022",TRUE
"61","HAM-027","HAM",27,11,NA,NA,43.27861,-79.87556,NA,NA,2023-12-01 16:25:00,2024-12-02 16:30:00,10,NA,NA,"VR2W",69,124715,"Generation-2",NA,NA,NA,"No","HAMLO","No","2023",TRUE
"62","HAM-027","HAM",27,12,NA,NA,43.27861,-79.87556,NA,NA,2024-12-09 16:43:00,2025-11-25 14:00:00,11.4,NA,NA,"VR2W",69,124715,"Generation-2",NA,NA,NA,"No","HAMLO","No","2024",TRUE
"63","HAM-028","HAM",28,9,NA,NA,43.27556,-79.88194,NA,NA,2021-10-27 20:05:00,2022-11-17 15:26:00,7.8,NA,NA,"VR2W",69,126878,"MAP-114",NA,NA,NA,"No","HAMLO","No","2021",TRUE
"64","HAM-028","HAM",28,10,NA,NA,43.27556,-79.88082,NA,NA,2022-11-29 15:30:00,2023-12-01 15:00:00,8,NA,NA,"VR2W",69,126878,"MAP-115",NA,NA,NA,"No","HAMLO","No","2022",TRUE
"65","HAM-028","HAM",28,11,NA,NA,43.27508,-79.88077,NA,NA,2023-12-05 15:45:00,2024-12-03 15:55:00,8,NA,NA,"VR2W",69,126878,"Generation-2",NA,NA,NA,"No","HAMLO","No","2023",TRUE
"66","HAM-028","HAM",28,12,NA,NA,43.27508,-79.88077,NA,NA,2024-12-09 05:07:00,2025-11-25 14:00:00,8,NA,NA,"VR2W",69,126878,"Generation-2",NA,NA,NA,"No","HAMLO","No","2024",TRUE
"67","HAM-029","HAM",29,8,NA,NA,43.28936,-79.88731,NA,NA,2022-04-05 20:00:00,2022-09-28 18:57:00,1,NA,NA,"VR2W",69,132818,"MAP-115",NA,NA,NA,"No","HAMLO","No","2022",TRUE
"68","HAM-029","HAM",29,10,NA,NA,43.28936,-79.88731,NA,NA,2023-04-04 18:22:00,2023-12-20 18:20:00,1,NA,NA,"VR2W",69,132818,"MAP-115",NA,NA,NA,"No","HAMLO","No","2023",TRUE
"69","HAM-029","HAM",29,12,NA,NA,43.28936,-79.88731,NA,NA,2024-03-07 21:30:00,2024-08-22 13:37:00,1,NA,NA,"VR2W",69,481683,"Generation-2",NA,NA,NA,"No","HAMLO","No","2024",TRUE
"70","HAM-029","HAM",29,14,NA,NA,43.28936,-79.88731,NA,NA,2025-04-11 19:06:00,2025-09-26 13:53:00,1.2,NA,NA,"VR2W-Tx",69,481801,"Generation-2",NA,NA,NA,"No","HAMLO","No","2025",TRUE
"71","HAM-030","HAM",30,9,NA,NA,43.27192,-79.92519,NA,NA,2022-10-18 16:13:00,2023-10-06 18:20:00,NA,NA,NA,"VR2W",69,132999,"MAP-115",NA,NA,NA,"No","HAMLO","No","2022",TRUE
"72","HAM-030","HAM",30,10,NA,NA,43.27192,-79.92519,NA,NA,2023-10-06 18:25:00,2024-10-31 14:30:00,NA,NA,NA,"VR2W",69,127828,"MAP-115",NA,NA,NA,"No","HAMLO","No","2023",TRUE
"73","HAM-030","HAM",30,11,NA,NA,43.27192,-79.92519,NA,NA,2024-10-31 14:35:00,2025-10-02 14:30:00,NA,NA,NA,"VR2W",69,127828,"MAP-115",NA,NA,NA,"No","HAMLO","No","2024",TRUE
"74","HAM-032","HAM",32,10,NA,NA,43.27973,-79.89346,NA,NA,2022-09-28 14:00:00,2023-10-06 17:20:00,1.9,NA,NA,"VR2W",69,127839,"MAP-115","error 1 initialization occurred between deploy and recover",NA,NA,"No","HAMLO","No","2022",TRUE
"75","HAM-032","HAM",32,11,NA,NA,43.27973,-79.89346,NA,NA,2023-10-06 17:25:00,2024-10-31 12:52:00,NA,NA,NA,"VR2W",69,131523,"MAP-115",NA,NA,NA,"No","HAMLO","No","2023",TRUE
